dstc2100,dstc2,100,67,33,67.0000,33.0000
dstc2200,dstc2,200,132,68,66.0000,34.0000
dstc2300,dstc2,300,208,92,69.3333,30.6667
dstc2500,dstc2,500,346,154,69.2000,30.8000
dstc2600,dstc2,600,411,189,68.5000,31.5000
dstc2700,dstc2,700,480,220,68.5714,31.4286
dstc2800,dstc2,800,542,258,67.7500,32.2500
dstc2900,dstc2,900,605,295,67.2222,32.7778
dstc21000,dstc2,1000,676,324,67.6000,32.4000
dstc21500,dstc2,1500,1031,469,68.7333,31.2667
dstc22000,dstc2,2000,1385,615,69.2500,30.7500
dstc23000,dstc2,3000,2203,797,73.4333,26.5667
dstc24000,dstc2,4000,3131,869,78.2750,21.7250
dstc3100,dstc3,100,59,41,59.0000,41.0000
dstc3200,dstc3,200,134,66,67.0000,33.0000
dstc3300,dstc3,300,193,107,64.3333,35.6667
dstc3500,dstc3,500,335,165,67.0000,33.0000
dstc3600,dstc3,600,406,194,67.6667,32.3333
dstc3700,dstc3,700,479,221,68.4286,31.5714
dstc3800,dstc3,800,544,256,68.0000,32.0000
dstc3900,dstc3,900,616,284,68.4444,31.5556
dstc31000,dstc3,1000,692,308,69.2000,30.8000
dstc31500,dstc3,1500,1038,462,69.2000,30.8000
dstc32000,dstc3,2000,1403,597,70.1500,29.8500
dstc33000,dstc3,3000,2213,787,73.7667,26.2333
dstc34000,dstc3,4000,3123,877,78.0750,21.9250
dstc35000,dstc3,5000,4096,904,81.9200,18.0800
