dstc2100,dstc2,100,30,70,30.0000,70.0000
dstc2200,dstc2,200,66,134,33.0000,67.0000
dstc2300,dstc2,300,97,203,32.3333,67.6667
dstc2500,dstc2,500,159,341,31.8000,68.2000
dstc2600,dstc2,600,182,418,30.3333,69.6667
dstc2700,dstc2,700,208,492,29.7143,70.2857
dstc2800,dstc2,800,242,558,30.2500,69.7500
dstc2900,dstc2,900,267,633,29.6667,70.3333
dstc21000,dstc2,1000,292,708,29.2000,70.8000
dstc21500,dstc2,1500,424,1076,28.2667,71.7333
dstc22000,dstc2,2000,554,1446,27.7000,72.3000
dstc23000,dstc2,3000,790,2210,26.3333,73.6667
dstc24000,dstc2,4000,991,3009,24.7750,75.2250
dstc25000,dstc2,5000,1233,3767,24.6600,75.3400
dstc3100,dstc3,100,28,72,28.0000,72.0000
dstc3200,dstc3,200,53,147,26.5000,73.5000
dstc3300,dstc3,300,78,222,26.0000,74.0000
dstc3500,dstc3,500,119,381,23.8000,76.2000
dstc3600,dstc3,600,140,460,23.3333,76.6667
dstc3700,dstc3,700,177,523,25.2857,74.7143
dstc3800,dstc3,800,205,595,25.6250,74.3750
dstc3900,dstc3,900,223,677,24.7778,75.2222
dstc31000,dstc3,1000,245,755,24.5000,75.5000
dstc31500,dstc3,1500,364,1136,24.2667,75.7333
dstc32000,dstc3,2000,482,1518,24.1000,75.9000
dstc33000,dstc3,3000,697,2303,23.2333,76.7667
dstc34000,dstc3,4000,905,3095,22.6250,77.3750
dstc35000,dstc3,5000,1113,3887,22.2600,77.7400
family100,family,100,41,59,41.0000,59.0000
family200,family,200,90,110,45.0000,55.0000
family300,family,300,138,162,46.0000,54.0000
family500,family,500,217,283,43.4000,56.6000
family600,family,600,249,351,41.5000,58.5000
family700,family,700,295,405,42.1429,57.8571
family800,family,800,341,459,42.6250,57.3750
family900,family,900,373,527,41.4444,58.5556
family1000,family,1000,407,593,40.7000,59.3000
family1500,family,1500,595,905,39.6667,60.3333
family2000,family,2000,785,1215,39.2500,60.7500
family3000,family,3000,1171,1829,39.0333,60.9667
family4000,family,4000,1492,2508,37.3000,62.7000
family5000,family,5000,1739,3261,34.7800,65.2200
